Course,Description,Full,Instructor,Days,Time,Location,Capacity
ANTH      2  ,INTRO CULT ANTHRO,,MCALLISTER L,MTWR,9:30 am - 10:50am,GIRV 1112,36 / 45
ANTH      2  ,,,IOANNIDES M J,F,8:00 am - 9:20 am,GIRV 1106,12 / 15
ANTH      2  ,,,IOANNIDES M J,F,11:00am - 12:10pm,GIRV 2110,14 / 15
ANTH      2  ,,,IOANNIDES M J,F,12:30pm - 1:40pm,GIRV 2110,10 / 15
ANTH      2  ,INTRO CULT ANTHRO,Full,LAMON S E,MTWR,12:30pm - 1:50pm,GIRV 1112,45 / 45
ANTH      2  ,,Full,GONZALEZ T A,F,11:00am - 12:10pm,GIRV 2108,15 / 15
ANTH      2  ,,Full,GONZALEZ T A,F,12:30pm - 1:40pm,GIRV 1106,15 / 15
ANTH      2  ,,Full,GONZALEZ T A,F,2:00pm - 3:10pm,GIRV 1106,15 / 15
ANTH      3SS,INTRO ARCH,,GORMAN A J,MTWR,8:00 am - 9:20 am,GIRV 1112,35 / 45
ANTH      3SS,,,RARESHIDE E,F,11:00am - 12:10pm,HSSB 1021,13 / 15
ANTH      3SS,,,RARESHIDE E,F,12:30pm - 1:40pm,HSSB 1021,9 / 15
ANTH      3SS,,,RARESHIDE E,F,9:30 am - 10:40am,HSSB 1021,13 / 15
ANTH      5  ,INTRO  BIO ANTH,,GAULIN S J,MTWR,11:00am - 12:20pm,GIRV 1112,32 / 45
ANTH      5  ,,,AGEY E R,F,11:00am - 12:10pm,GIRV 1106,13 / 15
ANTH      5  ,,,AGEY E R,F,12:30pm - 1:40pm,GIRV 1106,9 / 15
ANTH      5  ,,,AGEY E R,F,9:30 am - 10:40am,GIRV 1106,10 / 15
ANTH     99  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
ANTH    109  ,HUMAN UNIVERSALS,Full,CIMINO A N,T R,6:30pm - 8:35pm,GIRV 2128,70 / 70
ANTH    110  ,TECH AND CULTURE,,BARBIER B J,MTWR,11:00am - 12:20pm,PHELP1448,29 / 30
ANTH    111  ,ANTHRO OF FOOD,Full,KUNDU M,MTWR,9:30 am - 10:50am,ARTS 1356,56 / 56
ANTH    125  ,ANTHRO OF GENDER,Full,TABER P K,MTWR,12:30pm - 1:50pm,GIRV 1112,32 / 30
ANTH    127  ,HUNTERS & GATHERERS,Cancelled,T B A,,,T B A,0 / 30
ANTH    131  ,NORTH AMER INDIANS,Full,MALINDINE J B,MTWR,11:00am - 12:20pm,PHELP1444,32 / 30
ANTH    148  ,ECO ANTHROPOLOGY,,KUNDU M,MTWR,9:30 am - 10:50am,PHELP1425,50 / 60
ANTH    148A ,COMP ETHNICITY,Full,BJORNSDOTTIR,MTWR,11:00am - 12:20pm,PHELP2514,34 / 34
ANTH    156  ,AFRICA,Full,MONROE S L,MTWR,12:30pm - 1:50pm,PHELP2532,31 / 30
ANTH    181  ,MTH/TECH FIELD ARCH,,BROWN K M,S,8:00 am - 5:00pm,OFF  CAMPS,12 / 20
ANTH    190  ,CULT ANTH INTERN,,T B A,,,T B A,0 / 4
ANTH    194P ,PRACTICUM FIELD/LAB,,T B A,,,T B A,0 / 10
ANTH    199  ,INDEP STUDIES ANTH,,T B A,,,T B A,0 / 1
ANTH    199RA,RESEARCH TRAINING,,T B A,,,T B A,0 / 1
ART       1A ,VISUAL LITERACY,,TASCHIAN H J,T R,1:00pm - 2:55pm,ARTS 1344,20 / 25
ART       1A ,,,BLUMENTHAL S,W,1:00pm - 2:55pm,ARTS 1344,20 / 25
